ID,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO
106805103,42,1,Среднее,Не состоял в браке,1,0,1,0,Московская область,Московская область,Московская область,1,0
106809308,28,1,Среднее специальное,Состою в браке,1,1,1,0,Читинская область,Читинская область,Читинская область,0,0
106805867,64,0,Среднее специальное,Состою в браке,2,0,1,1,Иркутская область,Иркутская область,Иркутская область,0,1
106808779,54,1,Среднее специальное,Состою в браке,0,0,1,0,Новосибирская область,Новосибирская область,Новосибирская область,1,1
106814289,26,0,Среднее специальное,Состою в браке,1,1,1,0,Красноярский край,Красноярский край,Красноярский край,1,0
106814758,63,1,Среднее,Состою в браке,2,0,0,1,Иркутская область,Иркутская область,Иркутская область,0,0
106804821,32,0,Среднее специальное,Состою в браке,0,0,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0
106814344,52,1,Среднее,Состою в браке,1,0,1,0,Брянская область,Брянская область,Брянская область,1,0
106809579,47,0,Среднее,Состою в браке,2,0,1,0,Рязанская область,Рязанская область,Рязанская область,0,0
106813445,23,1,Среднее специальное,Не состоял в браке,0,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,0
106812816,42,1,Среднее специальное,Состою в браке,2,1,1,0,Красноярский край,Красноярский край,Красноярский край,0,0
106806676,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,Карелия,Карелия,Карелия,1,0
106813305,25,1,Высшее,Состою в браке,0,0,1,0,Омская область,Омская область,Омская область,0,0
106811087,37,1,Среднее специальное,Состою в браке,2,2,1,0,Московская область,Московская область,Московская область,0,0
106809086,52,1,Среднее специальное,Вдовец/Вдова,3,0,0,1,Бурятия,Бурятия,Бурятия,1,0
106818497,46,1,Среднее,Не состоял в браке,2,0,1,0,Воронежская область,Воронежская область,Воронежская область,0,0
106805396,28,1,Среднее,Не состоял в браке,1,1,1,0,Мурманская область,Мурманская область,Мурманская область,0,0
106810469,62,1,Неполное среднее,Не состоял в браке,0,0,0,1,Ростовская область,Ростовская область,Ростовская область,0,0
106807246,50,0,Среднее специальное,Состою в браке,1,0,1,0,Красноярский край,Красноярский край,Красноярский край,1,1
106809151,30,1,Среднее специальное,Состою в браке,2,2,1,0,Бурятия,Бурятия,Бурятия,0,0
106806814,64,0,Высшее,Не состоял в браке,0,0,0,1,Ставропольский край,Ставропольский край,Ставропольский край,1,0
106809097,41,1,Среднее,Состою в браке,0,0,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,0
106811950,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0
106805618,41,1,Среднее специальное,Состою в браке,0,0,1,0,Тверская область,Тверская область,Тверская область,0,0
106819249,30,1,Высшее,Не состоял в браке,0,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,1
106818810,61,1,Среднее специальное,Состою в браке,2,0,1,1,Хабаровский край,Хабаровский край,Хабаровский край,0,1
106816627,38,1,Среднее,Состою в браке,0,1,1,0,Приморский край,Приморский край,Приморский край,0,0
106813813,51,1,Среднее,Гражданский брак,0,0,1,0,Тюменская область,Тюменская область,Тюменская область,0,0
106810992,58,0,Среднее,Состою в браке,2,0,0,1,Ростовская область,Ростовская область,Ростовская область,0,0
106804376,35,0,Высшее,Разведен(а),1,1,1,0,Вологодская область,Вологодская область,Вологодская область,1,0
106814732,45,0,Среднее,Состою в браке,2,1,1,0,Хакасия,Хакасия,Хакасия,1,0
106813352,25,1,Среднее,Состою в браке,0,0,1,0,Тамбовская область,Тамбовская область,Тамбовская область,1,0
106808812,62,1,Среднее специальное,Состою в браке,2,0,1,1,Челябинская область,Челябинская область,Челябинская область,1,0
106808912,30,1,Среднее специальное,Состою в браке,1,1,1,0,Хакасия,Хакасия,Хакасия,0,1
106807419,56,1,Неполное среднее,Состою в браке,3,0,1,1,Пермская область,Пермская область,Пермская область,1,0
106820101,33,1,Среднее,Состою в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0
106810124,36,1,Среднее,Не состоял в браке,1,1,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0
106810291,55,1,Высшее,Состою в браке,2,0,1,0,Воронежская область,Воронежская область,Воронежская область,0,0
106806782,29,0,Среднее,Не состоял в браке,1,1,1,0,Карелия,Карелия,Карелия,0,0
106811473,32,0,Среднее специальное,Состою в браке,2,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,1
106815597,36,0,Среднее,Состою в браке,1,1,1,0,Костромская область,Костромская область,Костромская область,0,1
106806966,27,0,Среднее специальное,Состою в браке,2,2,1,0,Саратовская область,Саратовская область,Саратовская область,1,0
106807263,41,0,Среднее специальное,Состою в браке,3,2,1,0,Ростовская область,Ростовская область,Ростовская область,0,0
106816932,54,1,Среднее,Вдовец/Вдова,2,0,0,1,Тюменская область,Тюменская область,Тюменская область,0,0
106805731,52,0,Среднее специальное,Состою в браке,1,0,1,0,Ленинградская область,Ленинградская область,Ленинградская область,1,0
106815450,28,1,Среднее специальное,Разведен(а),1,1,1,0,Архангельская область,Архангельская область,Архангельская область,0,0
106815247,26,1,Среднее специальное,Состою в браке,1,1,1,0,Пензенская область,Пензенская область,Пензенская область,0,0
106808385,27,0,Среднее,Состою в браке,1,1,1,0,Курская область,Курская область,Курская область,1,0
106812479,28,0,Среднее специальное,Не состоял в браке,0,0,1,0,Читинская область,Читинская область,Читинская область,0,0
106806694,25,1,Среднее специальное,Состою в браке,1,1,1,0,Ивановская область,Ивановская область,Ивановская область,1,0
106817240,39,1,Среднее,Состою в браке,2,2,1,0,Чувашия,Чувашия,Чувашия,0,0
106814406,64,1,Высшее,Вдовец/Вдова,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0
106811422,43,0,Неполное среднее,Состою в браке,1,1,1,0,Амурская область,Амурская область,Амурская область,0,0
106813026,44,0,Среднее специальное,Гражданский брак,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0
106811785,34,1,Высшее,Состою в браке,2,2,1,0,Курганская область,Курганская область,Курганская область,0,0
106814631,34,1,Среднее,Состою в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0
106808319,51,1,Неоконченное высшее,Не состоял в браке,1,0,1,0,Алтайский край,Алтайский край,Алтайский край,0,0
106819444,40,0,Среднее специальное,Состою в браке,2,2,1,0,Удмуртия,Удмуртия,Удмуртия,0,0
106808888,27,0,Среднее специальное,Состою в браке,1,1,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,1
106804549,29,0,Высшее,Не состоял в браке,0,0,1,0,Вологодская область,Вологодская область,Вологодская область,0,0
106805096,42,1,Среднее специальное,Состою в браке,2,2,1,0,Алтайский край,Алтайский край,Алтайский край,0,0
106809603,50,1,Среднее специальное,Состою в браке,1,0,1,0,Курганская область,Курганская область,Курганская область,0,0
106804668,26,0,Среднее специальное,Состою в браке,1,1,1,0,Курганская область,Курганская область,Курганская область,0,0
106806709,22,0,Среднее специальное,Не состоял в браке,0,0,1,0,Читинская область,Читинская область,Читинская область,0,1
106809344,57,0,Высшее,Состою в браке,2,1,1,1,Московская область,Московская область,Московская область,1,1
106810377,50,1,Среднее специальное,Вдовец/Вдова,0,0,1,0,Пермская область,Пермская область,Пермская область,1,0
106807392,35,0,Среднее,Состою в браке,1,1,1,0,Татарстан,Татарстан,Татарстан,1,0
