GEN_INDUSTRY,GEN_TITLE,JOB_DIR,WORK_TIME,ID_CLIENT
Торговля,Рабочий,Вспомогательный техперсонал,18.0,106804370
Торговля,Рабочий,Участие в основ. деятельности,97.0,106804371
Информационные технологии,Специалист,Участие в основ. деятельности,84.0,106804372
Образование,Руководитель среднего звена,Участие в основ. деятельности,168.0,106804373
Государственная служба,Специалист,Участие в основ. деятельности,101.0,106804374
Торговля,Специалист,Адм-хоз. и трансп. службы,40.0,106804375
Другие сферы,Специалист,Участие в основ. деятельности,6.0,106804376
Сельское хозяйство,Рабочий,Участие в основ. деятельности,6.0,106804377
Здравоохранение,Руководитель высшего звена,Участие в основ. деятельности,156.0,106804378
Образование,Специалист,Участие в основ. деятельности,72.0,106804379
Образование,Служащий,Пр-техн. обесп. и телеком.,120.0,106804380
Другие сферы,Работник сферы услуг,Участие в основ. деятельности,27.0,106804381
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,48.0,106804382
Государственная служба,Рабочий,Служба безопасности,72.0,106804383
Государственная служба,Высококвалифиц. специалист,Участие в основ. деятельности,120.0,106804384
Торговля,Индивидуальный предприниматель,Участие в основ. деятельности,168.0,106804385
,,,,106804386
Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,8.0,106804387
Строительство,Рабочий,Участие в основ. деятельности,13.0,106804388
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,60.0,106804389
Образование,Специалист,Участие в основ. деятельности,192.0,106804390
Торговля,Специалист,Участие в основ. деятельности,76.0,106804391
Транспорт,Специалист,Участие в основ. деятельности,120.0,106804392
Здравоохранение,Специалист,Участие в основ. деятельности,108.0,106804393
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,24.0,106804394
Торговля,Рабочий,Участие в основ. деятельности,18.0,106804395
Торговля,Руководитель среднего звена,Участие в основ. деятельности,60.0,106804396
Другие сферы,Специалист,Участие в основ. деятельности,15.0,106804397
Другие сферы,Рабочий,Участие в основ. деятельности,2.0,106804398
,,,,106804399
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,96.0,106804400
Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,108.0,106804401
Торговля,Рабочий,Участие в основ. деятельности,20.0,106804402
Транспорт,Работник сферы услуг,Участие в основ. деятельности,12.0,106804403
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,96.0,106804404
Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,12.0,106804405
Банк/Финансы,Специалист,Участие в основ. деятельности,6.0,106804406
Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,120.0,106804407
Ресторанный бизнес/Общественное питание,Рабочий,Участие в основ. деятельности,240.0,106804408
Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,180.0,106804409
,,,,106804410
Торговля,Специалист,Участие в основ. деятельности,3.0,106804411
Металлургия/Промышленность/Машиностроение,Рабочий,Пр-техн. обесп. и телеком.,96.0,106804412
,,,,106804413
Торговля,Специалист,Участие в основ. деятельности,36.0,106804414
Государственная служба,Специалист,Участие в основ. деятельности,144.0,106804415
Торговля,Специалист,Участие в основ. деятельности,30.0,106804416
Образование,Высококвалифиц. специалист,Участие в основ. деятельности,132.0,106804417
Образование,Специалист,Участие в основ. деятельности,72.0,106804418
Строительство,Специалист,Участие в основ. деятельности,30.0,106804419
