CREDIT,TERM,FST_PAYMENT,ID_CLIENT
8000.0,6,8650.0,106804370
21650.0,6,4000.0,106804371
33126.0,12,4000.0,106804372
8491.82,6,5000.0,106804373
21990.0,12,4000.0,106804374
30615.0,12,3500.0,106804375
10450.0,3,15000.0,106804376
15035.0,10,465.0,106804377
32914.31,4,29080.92,106804378
4440.0,6,540.0,106804379
5160.0,3,600.0,106804380
11751.0,4,8389.0,106804381
11160.0,3,2790.0,106804382
5770.0,9,1020.0,106804383
14513.0,5,1462.0,106804384
79910.0,5,19990.0,106804385
4039.0,3,500.0,106804386
3400.0,6,2000.0,106804387
7290.0,6,1300.0,106804388
8918.0,6,1000.0,106804389
10342.0,6,1200.0,106804390
19857.0,6,6000.0,106804391
13000.0,6,1500.0,106804392
7300.0,6,3000.0,106804393
12646.0,6,1500.0,106804394
14619.0,6,1625.0,106804395
3909.0,3,690.0,106804396
30198.0,6,5752.0,106804397
3390.0,6,400.0,106804398
8000.0,3,5300.0,106804399
3307.0,4,583.0,106804400
3490.0,3,4500.0,106804401
9991.0,6,309.0,106804402
10000.0,6,4700.0,106804403
8118.0,3,8117.0,106804404
26990.0,6,9000.0,106804405
4869.66,6,1385.0,106804406
8730.0,10,1000.0,106804407
19989.0,6,2500.0,106804408
5119.0,6,570.0,106804409
13021.0,6,3000.0,106804410
4550.0,3,1000.0,106804411
19240.0,36,0.0,106804412
8880.0,6,1000.0,106804413
26820.0,10,2980.0,106804414
13800.0,5,5000.0,106804415
45665.0,8,5100.0,106804416
10000.0,6,4455.0,106804417
18471.0,3,10000.0,106804418
7850.0,3,3000.0,106804419
23166.0,5,2574.0,106804420
7581.0,6,1338.0,106804421
34335.0,6,3815.0,106804422
3143.0,3,3000.0,106804423
10925.0,3,2000.0,106804424
10570.0,4,5000.0,106804425
14755.0,6,1640.0,106804426
6163.0,6,1087.0,106804427
13441.0,10,7049.0,106804428
16870.0,6,2000.0,106804429
16400.0,6,3000.0,106804430
5500.0,3,1000.0,106804431
4938.0,6,1500.0,106804432
17990.0,6,5000.0,106804433
7920.0,5,880.0,106804434
3000.0,3,790.0,106804435
11070.0,6,1300.0,106804436
3000.0,6,2490.95,106804437
9500.0,6,2500.0,106804438
5690.0,6,5500.0,106804439
9907.2,3,2000.0,106804440
15598.0,6,5000.0,106804441
21050.0,12,3000.0,106804442
5431.2,6,168.0,106804443
4250.0,4,2000.0,106804444
5400.0,6,3000.0,106804445
3750.0,9,0.0,106804446
4490.0,6,500.0,106804447
8330.0,5,2200.0,106804448
7795.0,6,7795.0,106804449
3307.0,6,583.0,106804450
21380.0,4,5000.0,106804451
9990.0,6,3000.0,106804452
5570.0,4,620.0,106804453
9997.0,6,1120.0,106804454
15190.0,6,7000.0,106804455
3299.0,6,370.0,106804456
10394.0,6,5000.0,106804457
6843.0,4,4500.0,106804458
8990.0,12,1000.0,106804459
3610.0,10,410.0,106804460
9137.0,3,1500.0,106804461
10693.0,6,1887.0,106804462
7199.0,6,800.0,106804463
10000.0,6,3555.0,106804464
21984.55,10,3880.0,106804465
3140.0,4,350.0,106804466
10953.0,4,11337.0,106804467
