FAMILY_INCOME,PERSONAL_INCOME,ID_CLIENT
от 20000 до 50000 руб.,20000.0,106809321
от 20000 до 50000 руб.,14000.0,106815561
от 10000 до 20000 руб.,15000.0,106811521
от 20000 до 50000 руб.,20000.0,106811252
от 20000 до 50000 руб.,25000.0,106808620
от 10000 до 20000 руб.,10000.0,106807688
от 20000 до 50000 руб.,14000.0,106812199
от 20000 до 50000 руб.,7000.0,106808036
от 20000 до 50000 руб.,30000.0,106818096
от 20000 до 50000 руб.,17000.0,106818904
от 10000 до 20000 руб.,6670.0,106805328
от 5000 до 10000 руб.,7000.0,106814361
от 20000 до 50000 руб.,10000.0,106813748
от 5000 до 10000 руб.,6000.0,106804701
от 10000 до 20000 руб.,6000.0,106813655
от 20000 до 50000 руб.,25000.0,106807811
от 10000 до 20000 руб.,10000.0,106812738
от 20000 до 50000 руб.,20000.0,106811015
от 10000 до 20000 руб.,9500.0,106805965
от 10000 до 20000 руб.,12000.0,106810079
от 10000 до 20000 руб.,17000.0,106808112
от 20000 до 50000 руб.,22000.0,106806784
от 5000 до 10000 руб.,6000.0,106805837
от 20000 до 50000 руб.,20000.0,106815808
от 20000 до 50000 руб.,20000.0,106811512
от 20000 до 50000 руб.,20000.0,106806891
от 10000 до 20000 руб.,16000.0,106816989
от 5000 до 10000 руб.,8500.0,106807384
от 10000 до 20000 руб.,11000.0,106815177
от 10000 до 20000 руб.,10000.0,106804812
от 10000 до 20000 руб.,20000.0,106815632
от 10000 до 20000 руб.,14000.0,106812894
от 10000 до 20000 руб.,10000.0,106810513
от 10000 до 20000 руб.,6500.0,106817658
от 10000 до 20000 руб.,10000.0,106813443
от 10000 до 20000 руб.,12000.0,106813619
от 10000 до 20000 руб.,19000.0,106816589
от 20000 до 50000 руб.,23000.0,106818057
от 10000 до 20000 руб.,10000.0,106815027
от 10000 до 20000 руб.,12000.0,106806016
от 10000 до 20000 руб.,6000.0,106805847
от 20000 до 50000 руб.,12000.0,106815817
от 20000 до 50000 руб.,16000.0,106810897
от 10000 до 20000 руб.,15500.0,106818802
от 10000 до 20000 руб.,12000.0,106813564
от 10000 до 20000 руб.,18000.0,106816300
от 20000 до 50000 руб.,20000.0,106808403
от 20000 до 50000 руб.,13000.0,106815492
до 5000 руб.,4500.0,106808610
от 10000 до 20000 руб.,19000.0,106818237
от 10000 до 20000 руб.,6000.0,106809673
от 10000 до 20000 руб.,10000.0,106818363
от 10000 до 20000 руб.,11000.0,106810482
от 10000 до 20000 руб.,10000.0,106814346
от 10000 до 20000 руб.,10000.0,106813695
от 10000 до 20000 руб.,15000.0,106809476
от 20000 до 50000 руб.,20000.0,106809250
от 20000 до 50000 руб.,23000.0,106808507
от 20000 до 50000 руб.,14000.0,106806638
от 10000 до 20000 руб.,9000.0,106804615
свыше 50000 руб.,23000.0,106804824
от 20000 до 50000 руб.,33000.0,106815587
от 20000 до 50000 руб.,15000.0,106817622
от 20000 до 50000 руб.,25000.0,106812690
от 20000 до 50000 руб.,15000.0,106810950
от 20000 до 50000 руб.,15000.0,106809164
от 20000 до 50000 руб.,14000.0,106815246
от 5000 до 10000 руб.,8000.0,106818991
от 20000 до 50000 руб.,10000.0,106816186
